complessivo;padre;elemento;catagoria;desc_1;desc_2;desc_3;qty_db;qty;um;sfrido;lev;cod_cli_complessivo;cod_cli_padre;cod_cli_elemento;CFGLIN_0;STATISTICO 1;STATISTICO 2;11111111111111111;Non assegnata;Lunghezza1      DY1 (mm);Lunghezza2      DY2 (mm);Larghezza1       DX1 (mm);Larghezza2       DX2 (mm);Altezza1         DZ1 (mm);Altezza2         DZ2 (mm);Diametro           Ø (mm);Diametro max  Ø (mm);Diametro min   Ø (mm) ;Spessore1       THK1 (mm);Spessore2       THK2 (mm);Percentuale fori  FOR (%);Percentuale mandorle;Formato;Superficie (mq);Sezione
"M00008334";"M00008334";"M00002885";"MNR01";"rivetti 4,8 x 12";"testa larga";" ";"40";"40";"PZ";0;1;"5803244642";"5803244642";"PC-RV02-0014";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00005031";"SLL01";"base posteriore";" ";" ";"1";"1";"PZ";0;1;"5803244642";"5803244642";"5801945841";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00006919";"MCO01";"strisce isolanti ";"L2761 500 x 10 x 1,25 mm";" ";"60";"60";"UN";0;1;"5803244642";"5803244642";"5006062789";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007413";"SLL01";"traversa posteriore";" ";" ";"1";"1";"PZ";0;1;"5803244642";"5803244642";"5802808828";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007417";"CPL01";"omega";" ";" ";"26";"26";"PZ";0;1;"5803244642";"5803244642";"5010350035";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007418";"SLL01";"corna";" ";" ";"4";"4";"PZ";0;1;"5803244642";"5803244642";"5802432283";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007426";"SLL01";"lamiera centrale";" ";" ";"1";"1";"PZ";0;1;"5803244642";"5803244642";"5802469097";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007427";"SLL01";"lamiera centrale";" ";" ";"1";"1";"PZ";0;1;"5803244642";"5803244642";"5802469112";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007436";"SLL01";"correntini";" ";" ";"2";"2";"PZ";0;1;"5803244642";"5803244642";"5801946305";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007444";"CPL01";"\"p\" profile";" ";" ";"2";"2";"UN";0;1;"5803244642";"5803244642";"5802428378";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007445";"CPL01";"\"p\" profile";" ";" ";"2";"2";"UN";0;1;"5803244642";"5803244642";"5802428377";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007449";"SLL01";"cancelletti";" ";" ";"3";"3";"PZ";0;1;"5803244642";"5803244642";"5802307731";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008334";"M00008334";"M00007453";"SLL01";"lamiera a C laterale superiore";" ";" ";"1";"1";"PZ";0;1;"5803244642";"5803244642";"5802081302";" ";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
